StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
269,Granite Rib,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=269,1,R,"k2, (T2R) 3 times",k2
269,Granite Rib,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=269,2,W,purl,
269,Granite Rib,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=269,3,R,"k2, (knit the 3rd stitch, knit the 2nd stitch then knit the 1st stitch) twice",k2
269,Granite Rib,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=269,4,W,purl,
