StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1760,Frascine Braid,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1760,1,W,k4*,"p4, k4",*
1760,Frascine Braid,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1760,2,R,p4*,"(sl 1 wyib, k1, yo, pass slipped stitch over both the knit stitch and the yo) twice, p4",*
1760,Frascine Braid,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1760,3,W,k4*,"p4, k4",*
1760,Frascine Braid,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1760,4,R,p4*,"k1, sl 1 wyib, k1, yo, pass slipped stitch over both the knit stitch and the yo, k1, p4",*
