StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Repeat
472,Lines and Loops,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=472,1,R,B,knit
472,Lines and Loops,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=472,2,W,A,"knit, begin next row at opposite end of the needle"
