StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1408,Lace Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1408,1,R,p1*,"ssk, yo, k3, yo, k2-tog, p1",*
1408,Lace Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1408,2,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1408,Lace Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1408,3,R,p1*,"k2, yo, sl 2-k1-p2sso, yo, k2, p1",*
1408,Lace Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1408,4,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
