StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
1493,Tightly-worked Fabric,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1493,1,R,"k1, sl 1 wyif",k2
1493,Tightly-worked Fabric,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1493,2,W,"p1, sl 1 wyib",p2
