StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
163,Slip-Stitch Ribbing Variation,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=163,1,W,k2*,"p3, k2",*
163,Slip-Stitch Ribbing Variation,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=163,2,R,p2*,"sl 1 wyib, k1, sl 1 wyib, p2",*
