StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
721,Diagonal Demi-Brioche 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=721,1,W,A,*,purl,*,
721,Diagonal Demi-Brioche 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=721,2,R,A,*,"Sl 1 wyib, yo, k1, pass sl-st over the yo and knit stitch",*,
721,Diagonal Demi-Brioche 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=721,3,W,B,*,purl,*,
721,Diagonal Demi-Brioche 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=721,4,R,B,K1*,"Sl 1 wyib, yo, k1, pass sl-st over the yo and knit stitch",*,k1
