StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Repeat,End Row
1528,Tweed 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1528,1,R,A,"k1, sl 1 wyif",
1528,Tweed 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1528,2,W,A,"p1, sl 1 wyib",p2
1528,Tweed 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1528,3,R,B,"k1, sl 1 wyif",
1528,Tweed 2,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1528,4,W,B,"p1, sl 1 wyib",p2
